Pin Number,Pin Identifier,SX1268 Pin,SX1268 Identifier,BNO055 Pin,BNO055 Identifier
1,GP0 / UART0TX,3,RXD,,
2,GP1 / UART0RX,4,TXD,,
3,,,,,
4,,,,,
5,,,,,
6,GP4 / I2C0 SDA,,,4,SDA
7,GP5 / I2C0 SCL,,,5,SCL
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,GP10,1,M0,,
15,GP11,2,M1,,
16,,,,,
17,,,,,
18,GND,,,3,GND
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,3V3 (OUT),,,1,VIN
37,,,,,
38,GND,7,GND,,
39,VSYS,6,VCC,,
40,,,,,
